Created as New Dataset,NG11 #68 0,1 %
nm,%T
900.0,40.23
899.0,40.55
898.0,41.31
897.0,40.62
896.0,41.23
895.0,41.40
894.0,41.38
893.0,41.22
892.0,42.07
891.0,42.42
890.0,42.32
889.0,42.00
888.0,42.09
887.0,43.81
886.0,42.40
885.0,41.91
884.0,42.38
883.0,43.40
882.0,41.74
881.0,42.31
880.0,41.90
879.0,42.72
878.0,42.81
877.0,42.48
876.0,43.50
875.0,44.08
874.0,43.30
873.0,43.25
872.0,44.39
871.0,42.99
870.0,41.68
869.0,44.31
868.0,45.56
867.0,44.33
866.0,44.63
865.0,43.19
864.0,44.86
863.0,45.12
862.0,43.96
861.0,45.61
860.0,45.39
859.0,32.81
858.0,31.29
857.0,30.75
856.0,32.08
855.0,33.64
854.0,32.16
853.0,33.92
852.0,34.55
851.0,35.00
850.0,34.77
849.0,34.98
848.0,35.30
847.0,37.45
846.0,35.98
845.0,37.52
844.0,39.40
843.0,38.79
842.0,39.41
841.0,40.32
840.0,39.95
839.0,41.05
838.0,40.35
837.0,41.16
836.0,41.71
835.0,40.81
834.0,42.89
833.0,43.21
832.0,42.82
831.0,44.12
830.0,44.50
829.0,44.17
828.0,45.01
827.0,44.63
826.0,45.93
825.0,45.43
824.0,45.02
823.0,46.49
822.0,45.83
821.0,45.90
820.0,46.09
819.0,46.12
818.0,46.90
817.0,46.82
816.0,46.25
815.0,48.34
814.0,47.80
813.0,47.74
812.0,47.94
811.0,48.16
810.0,48.25
809.0,47.45
808.0,47.48
807.0,48.94
806.0,48.17
805.0,48.32
804.0,48.56
803.0,49.05
802.0,48.63
801.0,48.47
800.0,48.87
799.0,49.87
798.0,49.06
797.0,48.89
796.0,49.46
795.0,49.10
794.0,49.14
793.0,49.32
792.0,49.05
791.0,49.41
790.0,49.71
789.0,50.54
788.0,50.93
787.0,50.19
786.0,50.23
785.0,50.62
784.0,50.20
783.0,50.59
782.0,50.59
781.0,50.34
780.0,50.21
779.0,50.43
778.0,51.74
777.0,52.19
776.0,50.47
775.0,50.98
774.0,51.26
773.0,51.30
772.0,51.54
771.0,52.15
770.0,52.28
769.0,51.56
768.0,51.20
767.0,51.88
766.0,51.17
765.0,51.31
764.0,52.77
763.0,52.81
762.0,52.62
761.0,52.88
760.0,53.16
759.0,53.21
758.0,52.65
757.0,52.70
756.0,52.77
755.0,52.83
754.0,53.52
753.0,53.71
752.0,53.53
751.0,53.97
750.0,53.83
749.0,53.81
748.0,53.84
747.0,54.14
746.0,54.77
745.0,54.33
744.0,53.91
743.0,54.57
742.0,54.47
741.0,54.55
740.0,54.81
739.0,54.49
738.0,54.92
737.0,54.42
736.0,54.46
735.0,55.28
734.0,55.03
733.0,54.89
732.0,55.15
731.0,54.90
730.0,54.88
729.0,54.81
728.0,55.28
727.0,55.81
726.0,54.81
725.0,54.74
724.0,54.97
723.0,54.80
722.0,55.38
721.0,55.60
720.0,55.33
719.0,55.26
718.0,55.20
717.0,55.73
716.0,55.55
715.0,55.29
714.0,55.36
713.0,55.35
712.0,54.65
711.0,54.85
710.0,55.24
709.0,55.22
708.0,55.63
707.0,55.36
706.0,56.04
705.0,55.67
704.0,55.07
703.0,55.27
702.0,55.11
701.0,54.52
700.0,54.65
699.0,54.49
698.0,54.89
697.0,54.56
696.0,54.84
695.0,55.38
694.0,54.79
693.0,54.59
692.0,54.55
691.0,54.65
690.0,54.87
689.0,54.55
688.0,53.85
687.0,53.44
686.0,53.03
685.0,53.44
684.0,53.21
683.0,53.01
682.0,53.71
681.0,53.01
680.0,52.98
679.0,53.40
678.0,52.63
677.0,52.43
676.0,52.32
675.0,52.22
674.0,52.88
673.0,52.09
672.0,51.66
671.0,52.02
670.0,51.94
669.0,51.99
668.0,52.15
667.0,51.46
666.0,51.24
665.0,51.58
664.0,51.97
663.0,51.51
662.0,51.44
661.0,51.68
660.0,51.57
659.0,51.08
658.0,51.31
657.0,50.99
656.0,51.19
655.0,51.78
654.0,51.11
653.0,51.54
652.0,51.83
651.0,51.91
650.0,51.95
649.0,51.49
648.0,51.55
647.0,50.79
646.0,50.86
645.0,51.11
644.0,52.21
643.0,50.86
642.0,51.12
641.0,51.77
640.0,51.35
639.0,51.56
638.0,51.30
637.0,51.60
636.0,52.13
635.0,50.72
634.0,51.81
633.0,51.73
632.0,51.68
631.0,51.87
630.0,51.32
629.0,52.67
628.0,51.91
627.0,51.28
626.0,52.15
625.0,52.71
624.0,51.24
623.0,52.06
622.0,51.72
621.0,51.80
620.0,51.39
619.0,52.35
618.0,52.82
617.0,52.20
616.0,51.71
615.0,52.70
614.0,51.89
613.0,52.59
612.0,52.04
611.0,51.72
610.0,52.58
609.0,52.22
608.0,51.28
607.0,52.53
606.0,51.71
605.0,52.26
604.0,52.52
603.0,52.05
602.0,52.47
601.0,52.05
600.0,52.56
599.0,52.77
598.0,52.27
597.0,52.13
596.0,52.59
595.0,51.49
594.0,52.16
593.0,52.45
592.0,52.27
591.0,52.50
590.0,51.52
589.0,52.94
588.0,52.83
587.0,52.13
586.0,52.25
585.0,52.74
584.0,53.15
583.0,52.94
582.0,52.36
581.0,53.14
580.0,53.72
579.0,53.50
578.0,53.42
577.0,53.61
576.0,53.76
575.0,53.81
574.0,53.80
573.0,53.69
572.0,54.74
571.0,54.25
570.0,54.77
569.0,55.25
568.0,54.08
567.0,54.62
566.0,55.00
565.0,55.51
564.0,55.22
563.0,54.24
562.0,54.27
561.0,53.84
560.0,54.15
559.0,54.64
558.0,54.18
557.0,54.78
556.0,54.96
555.0,54.40
554.0,54.61
553.0,54.16
552.0,54.38
551.0,54.55
550.0,54.36
549.0,54.66
548.0,54.63
547.0,53.90
546.0,54.30
545.0,54.49
544.0,54.73
543.0,54.80
542.0,54.30
541.0,54.17
540.0,54.20
539.0,53.74
538.0,53.66
537.0,53.44
536.0,53.60
535.0,53.71
534.0,53.33
533.0,53.73
532.0,53.78
531.0,53.43
530.0,52.97
529.0,52.75
528.0,53.05
527.0,52.63
526.0,52.02
525.0,52.49
524.0,52.73
523.0,51.74
522.0,52.20
521.0,52.58
520.0,52.39
519.0,52.27
518.0,52.59
517.0,53.25
516.0,53.65
515.0,53.75
514.0,55.04
513.0,55.68
512.0,55.79
511.0,57.03
510.0,58.22
509.0,58.57
508.0,58.92
507.0,59.57
506.0,60.20
505.0,60.03
504.0,59.77
503.0,60.37
502.0,59.79
501.0,59.33
500.0,59.39
499.0,59.30
498.0,59.19
497.0,58.51
496.0,58.38
495.0,58.29
494.0,57.25
493.0,56.90
492.0,56.67
491.0,55.92
490.0,55.68
489.0,55.79
488.0,55.43
487.0,54.64
486.0,54.16
485.0,54.14
484.0,53.81
483.0,52.42
482.0,51.33
481.0,50.63
480.0,50.37
479.0,50.35
478.0,51.17
477.0,52.21
476.0,52.35
475.0,51.88
474.0,52.20
473.0,52.86
472.0,52.58
471.0,52.50
470.0,52.94
469.0,54.12
468.0,54.50
467.0,54.50
466.0,55.62
465.0,55.92
464.0,55.77
463.0,56.57
462.0,56.75
461.0,56.97
460.0,57.12
459.0,57.12
458.0,57.09
457.0,56.49
456.0,56.37
455.0,56.54
454.0,55.67
453.0,55.54
452.0,55.19
451.0,54.29
450.0,54.02
449.0,53.90
448.0,53.59
447.0,53.10
446.0,52.12
445.0,51.71
444.0,51.53
443.0,50.46
442.0,50.33
441.0,50.68
440.0,50.75
439.0,51.21
438.0,51.02
437.0,51.84
436.0,51.33
435.0,50.64
434.0,51.41
433.0,51.63
432.0,52.02
431.0,51.59
430.0,50.94
429.0,51.57
428.0,51.34
427.0,50.84
426.0,51.29
425.0,50.75
424.0,50.35
423.0,51.13
422.0,50.45
421.0,49.96
420.0,49.58
419.0,50.16
418.0,50.44
417.0,50.13
