Created as New Dataset,NG11 #68 100 %
nm,%T
900.0,41.85
899.0,41.93
898.0,42.00
897.0,42.08
896.0,42.15
895.0,42.22
894.0,42.30
893.0,42.38
892.0,42.46
891.0,42.53
890.0,42.61
889.0,42.68
888.0,42.76
887.0,42.84
886.0,42.92
885.0,43.00
884.0,43.08
883.0,43.16
882.0,43.24
881.0,43.31
880.0,43.40
879.0,43.48
878.0,43.56
877.0,43.64
876.0,43.72
875.0,43.80
874.0,43.88
873.0,43.96
872.0,44.05
871.0,44.13
870.0,44.22
869.0,44.30
868.0,44.39
867.0,44.47
866.0,44.56
865.0,44.64
864.0,44.73
863.0,44.82
862.0,44.90
861.0,44.99
860.0,45.05
859.0,45.19
858.0,45.25
857.0,45.34
856.0,45.44
855.0,45.53
854.0,45.60
853.0,45.69
852.0,45.78
851.0,45.87
850.0,45.95
849.0,46.01
848.0,46.13
847.0,46.19
846.0,46.29
845.0,46.41
844.0,46.47
843.0,46.57
842.0,46.65
841.0,46.76
840.0,46.84
839.0,46.93
838.0,47.02
837.0,47.13
836.0,47.22
835.0,47.31
834.0,47.39
833.0,47.49
832.0,47.59
831.0,47.67
830.0,47.78
829.0,47.86
828.0,47.96
827.0,48.03
826.0,48.13
825.0,48.24
824.0,48.32
823.0,48.43
822.0,48.52
821.0,48.61
820.0,48.71
819.0,48.83
818.0,48.91
817.0,49.00
816.0,49.11
815.0,49.19
814.0,49.28
813.0,49.38
812.0,49.50
811.0,49.58
810.0,49.63
809.0,49.75
808.0,49.85
807.0,49.94
806.0,50.03
805.0,50.12
804.0,50.22
803.0,50.32
802.0,50.42
801.0,50.51
800.0,50.60
799.0,50.71
798.0,50.81
797.0,50.90
796.0,51.00
795.0,51.09
794.0,51.18
793.0,51.28
792.0,51.39
791.0,51.50
790.0,51.59
789.0,51.69
788.0,51.79
787.0,51.88
786.0,51.98
785.0,52.07
784.0,52.16
783.0,52.26
782.0,52.37
781.0,52.46
780.0,52.55
779.0,52.64
778.0,52.75
777.0,52.83
776.0,52.93
775.0,53.03
774.0,53.12
773.0,53.22
772.0,53.31
771.0,53.40
770.0,53.50
769.0,53.59
768.0,53.68
767.0,53.77
766.0,53.86
765.0,53.95
764.0,54.03
763.0,54.13
762.0,54.22
761.0,54.30
760.0,54.39
759.0,54.48
758.0,54.56
757.0,54.65
756.0,54.74
755.0,54.81
754.0,54.89
753.0,54.97
752.0,55.06
751.0,55.14
750.0,55.22
749.0,55.30
748.0,55.37
747.0,55.43
746.0,55.50
745.0,55.58
744.0,55.66
743.0,55.72
742.0,55.80
741.0,55.87
740.0,55.93
739.0,56.01
738.0,56.07
737.0,56.13
736.0,56.18
735.0,56.24
734.0,56.30
733.0,56.35
732.0,56.41
731.0,56.47
730.0,56.51
729.0,56.55
728.0,56.60
727.0,56.65
726.0,56.68
725.0,56.72
724.0,56.77
723.0,56.79
722.0,56.82
721.0,56.85
720.0,56.87
719.0,56.90
718.0,56.91
717.0,56.92
716.0,56.93
715.0,56.94
714.0,56.94
713.0,56.95
712.0,56.93
711.0,56.92
710.0,56.92
709.0,56.90
708.0,56.88
707.0,56.85
706.0,56.81
705.0,56.78
704.0,56.74
703.0,56.69
702.0,56.64
701.0,56.59
700.0,56.52
699.0,56.45
698.0,56.40
697.0,56.33
696.0,56.25
695.0,56.18
694.0,56.09
693.0,56.01
692.0,55.92
691.0,55.83
690.0,55.78
689.0,55.71
688.0,55.61
687.0,55.51
686.0,55.40
685.0,55.30
684.0,55.21
683.0,55.11
682.0,54.99
681.0,54.88
680.0,54.79
679.0,54.68
678.0,54.56
677.0,54.45
676.0,54.34
675.0,54.23
674.0,54.12
673.0,54.01
672.0,53.91
671.0,53.80
670.0,53.70
669.0,53.60
668.0,53.53
667.0,53.46
666.0,53.37
665.0,53.32
664.0,53.25
663.0,53.20
662.0,53.15
661.0,53.10
660.0,53.05
659.0,53.02
658.0,53.01
657.0,52.99
656.0,52.96
655.0,52.96
654.0,52.94
653.0,52.93
652.0,52.94
651.0,52.93
650.0,52.94
649.0,52.94
648.0,52.96
647.0,52.99
646.0,53.01
645.0,53.03
644.0,53.05
643.0,53.07
642.0,53.10
641.0,53.12
640.0,53.15
639.0,53.17
638.0,53.21
637.0,53.23
636.0,53.27
635.0,53.30
634.0,53.32
633.0,53.35
632.0,53.38
631.0,53.41
630.0,53.43
629.0,53.45
628.0,53.47
627.0,53.50
626.0,53.51
625.0,53.53
624.0,53.55
623.0,53.56
622.0,53.58
621.0,53.57
620.0,53.58
619.0,53.58
618.0,53.58
617.0,53.59
616.0,53.58
615.0,53.58
614.0,53.58
613.0,53.56
612.0,53.56
611.0,53.56
610.0,53.54
609.0,53.53
608.0,53.53
607.0,53.54
606.0,53.54
605.0,53.52
604.0,53.53
603.0,53.53
602.0,53.53
601.0,53.54
600.0,53.55
599.0,53.56
598.0,53.57
597.0,53.59
596.0,53.61
595.0,53.64
594.0,53.67
593.0,53.72
592.0,53.76
591.0,53.80
590.0,53.85
589.0,53.90
588.0,53.97
587.0,54.04
586.0,54.11
585.0,54.19
584.0,54.28
583.0,54.36
582.0,54.45
581.0,54.53
580.0,54.64
579.0,54.74
578.0,54.84
577.0,54.93
576.0,55.02
575.0,55.13
574.0,55.24
573.0,55.33
572.0,55.43
571.0,55.52
570.0,55.61
569.0,55.69
568.0,55.78
567.0,55.87
566.0,55.96
565.0,56.02
564.0,56.10
563.0,56.17
562.0,56.17
561.0,56.26
560.0,56.32
559.0,56.37
558.0,56.42
557.0,56.47
556.0,56.51
555.0,56.55
554.0,56.59
553.0,56.62
552.0,56.65
551.0,56.67
550.0,56.69
549.0,56.71
548.0,56.74
547.0,56.76
546.0,56.76
545.0,56.77
544.0,56.77
543.0,56.77
542.0,56.77
541.0,56.77
540.0,56.77
539.0,56.76
538.0,56.73
537.0,56.72
536.0,56.69
535.0,56.66
534.0,56.63
533.0,56.60
532.0,56.57
531.0,56.53
530.0,56.50
529.0,56.46
528.0,56.42
527.0,56.38
526.0,56.34
525.0,56.30
524.0,56.27
523.0,56.24
522.0,56.20
521.0,56.16
520.0,56.13
519.0,56.09
518.0,56.06
517.0,56.02
516.0,55.98
515.0,55.94
514.0,55.89
513.0,55.85
512.0,55.80
511.0,55.75
510.0,55.70
509.0,55.65
508.0,55.60
507.0,55.55
506.0,55.51
505.0,55.47
504.0,55.43
503.0,55.39
502.0,55.37
501.0,55.35
500.0,55.34
499.0,55.33
498.0,55.32
497.0,55.32
496.0,55.32
495.0,55.32
494.0,55.32
493.0,55.34
492.0,55.35
491.0,55.36
490.0,55.37
489.0,55.39
488.0,55.41
487.0,55.43
486.0,55.46
485.0,55.50
484.0,55.53
483.0,55.58
482.0,55.63
481.0,55.68
480.0,55.72
479.0,55.74
478.0,55.75
477.0,55.78
476.0,55.81
475.0,55.84
474.0,55.87
473.0,55.90
472.0,55.91
471.0,55.92
470.0,55.93
469.0,55.94
468.0,55.93
467.0,55.92
466.0,55.88
465.0,55.83
464.0,55.77
463.0,55.70
462.0,55.61
461.0,55.50
460.0,55.36
459.0,55.22
458.0,55.05
457.0,54.87
456.0,54.66
455.0,54.44
454.0,54.21
453.0,53.95
452.0,53.68
451.0,53.41
450.0,53.13
449.0,52.85
448.0,52.57
447.0,52.30
446.0,52.04
445.0,51.83
444.0,51.64
443.0,51.50
442.0,51.39
441.0,51.32
440.0,51.29
439.0,51.32
438.0,51.39
437.0,51.48
436.0,51.58
435.0,51.69
434.0,51.79
433.0,51.87
432.0,51.93
431.0,51.96
430.0,51.96
429.0,51.92
428.0,51.85
427.0,51.78
426.0,51.68
425.0,51.56
424.0,51.43
423.0,51.31
422.0,51.18
421.0,51.07
420.0,50.97
419.0,50.87
418.0,50.80
417.0,50.77
416.0,50.74
415.0,50.75
414.0,50.79
413.0,50.88
412.0,51.00
411.0,51.15
410.0,51.34
409.0,51.54
408.0,51.74
407.0,51.97
406.0,52.19
405.0,52.39
404.0,52.55
403.0,52.70
402.0,52.78
401.0,52.79
400.0,52.73
399.0,52.61
398.0,52.42
397.0,52.15
396.0,51.78
395.0,51.36
394.0,50.85
393.0,50.25
392.0,49.51
391.0,48.68
390.0,47.72
389.0,46.63
388.0,45.38
387.0,43.98
386.0,42.43
385.0,40.75
384.0,38.98
383.0,37.19
382.0,35.45
381.0,33.81
380.0,32.42
379.0,31.34
378.0,30.82
377.0,30.84
376.0,31.42
375.0,32.41
374.0,33.61
373.0,34.86
372.0,35.94
371.0,36.68
370.0,37.06
369.0,37.10
368.0,36.85
367.0,36.36
366.0,35.69
365.0,34.87
364.0,33.98
363.0,32.97
362.0,31.89
361.0,30.78
360.0,29.59
359.0,28.39
358.0,27.13
357.0,25.85
356.0,24.53
355.0,23.19
354.0,21.86
353.0,20.51
352.0,19.17
351.0,17.83
350.0,16.49
349.0,15.16
348.0,13.89
347.0,12.60
346.0,11.35
345.0,10.17
344.0,9.05
343.0,7.98
342.0,6.97
341.0,6.04
340.0,5.17
339.0,4.38
338.0,3.67
337.0,3.02
336.0,2.46
335.0,1.97
334.0,1.55
333.0,1.20
332.0,0.92
331.0,0.68
330.0,0.50
329.0,0.36
328.0,0.25
327.0,0.17
326.0,0.11
325.0,0.08
324.0,0.05
323.0,0.03
322.0,0.02
321.0,0.02
320.0,0.01
319.0,0.01
318.0,-0.00
317.0,-0.00
316.0,-0.00
315.0,-0.00
314.0,-0.00
313.0,-0.00
312.0,-0.00
311.0,-0.00
310.0,-0.00
309.0,-0.00
308.0,-0.00
307.0,-0.00
306.0,-0.00
305.0,-0.00
304.0,-0.00
303.0,-0.00
302.0,-0.00
301.0,-0.00
300.0,-0.00
