Created as New Dataset,blank 0,1 %
nm,%T
900.0,105.79
899.0,105.01
898.0,103.98
897.0,105.63
896.0,105.16
895.0,101.49
894.0,104.98
893.0,104.77
892.0,103.10
891.0,102.19
890.0,104.87
889.0,105.42
888.0,103.86
887.0,102.94
886.0,106.31
885.0,105.29
884.0,103.41
883.0,103.86
882.0,103.66
881.0,104.34
880.0,102.01
879.0,105.14
878.0,105.37
877.0,102.89
876.0,107.45
875.0,107.58
874.0,103.83
873.0,102.96
872.0,106.61
871.0,102.88
870.0,102.24
869.0,106.33
868.0,106.80
867.0,109.45
866.0,107.75
865.0,106.01
864.0,107.18
863.0,102.39
862.0,106.81
861.0,107.40
860.0,105.07
859.0,97.63
858.0,103.47
857.0,97.94
856.0,102.90
855.0,100.72
854.0,100.14
853.0,97.18
852.0,100.81
851.0,100.95
850.0,103.25
849.0,101.26
848.0,99.79
847.0,103.61
846.0,97.08
845.0,100.88
844.0,97.97
843.0,100.35
842.0,102.15
841.0,100.45
840.0,98.05
839.0,100.29
838.0,97.79
837.0,97.99
836.0,99.24
835.0,102.52
834.0,101.07
833.0,100.17
832.0,99.40
831.0,100.42
830.0,99.63
829.0,101.88
828.0,100.23
827.0,100.18
826.0,98.59
825.0,100.62
824.0,101.42
823.0,99.45
822.0,98.87
821.0,100.72
820.0,101.32
819.0,100.87
818.0,99.49
817.0,100.13
816.0,100.02
815.0,98.72
814.0,99.21
813.0,100.20
812.0,99.35
811.0,100.01
810.0,100.72
809.0,99.18
808.0,100.61
807.0,101.69
806.0,100.16
805.0,99.75
804.0,99.98
803.0,99.81
802.0,100.45
801.0,99.05
800.0,99.70
799.0,100.02
798.0,100.20
797.0,100.95
796.0,100.13
795.0,101.65
794.0,101.47
793.0,100.64
792.0,100.47
791.0,100.44
790.0,99.96
789.0,101.00
788.0,100.12
787.0,99.92
786.0,101.68
785.0,100.76
784.0,100.55
783.0,100.40
782.0,100.29
781.0,100.51
780.0,100.71
779.0,99.30
778.0,100.94
777.0,101.01
776.0,99.52
775.0,99.81
774.0,102.24
773.0,102.06
772.0,100.34
771.0,99.00
770.0,99.44
769.0,101.58
768.0,101.25
767.0,99.87
766.0,100.01
765.0,100.25
764.0,100.33
763.0,100.71
762.0,100.89
761.0,99.74
760.0,99.32
759.0,100.57
758.0,101.97
757.0,101.41
756.0,99.95
755.0,100.49
754.0,100.95
753.0,100.27
752.0,99.76
751.0,100.16
750.0,100.19
749.0,99.64
748.0,99.33
747.0,100.93
746.0,100.61
745.0,99.63
744.0,100.64
743.0,101.30
742.0,100.81
741.0,99.56
740.0,98.70
739.0,99.49
738.0,99.60
737.0,99.52
736.0,100.40
735.0,99.43
734.0,98.82
733.0,99.16
732.0,99.83
731.0,100.08
730.0,98.99
729.0,98.46
728.0,100.16
727.0,100.38
726.0,98.45
725.0,98.44
724.0,99.73
723.0,100.95
722.0,100.23
721.0,100.42
720.0,101.14
719.0,99.96
718.0,99.98
717.0,100.04
716.0,100.23
715.0,100.93
714.0,100.02
713.0,99.33
712.0,100.64
711.0,100.10
710.0,99.69
709.0,100.17
708.0,100.13
707.0,99.29
706.0,99.41
705.0,99.51
704.0,100.18
703.0,100.17
702.0,99.57
701.0,101.02
700.0,102.33
699.0,100.48
698.0,100.30
697.0,100.49
696.0,101.64
695.0,100.85
694.0,99.03
693.0,100.09
692.0,99.70
691.0,99.23
690.0,99.33
689.0,100.98
688.0,100.10
687.0,99.26
686.0,98.46
685.0,99.98
684.0,100.49
683.0,99.47
682.0,99.57
681.0,100.51
680.0,100.81
679.0,100.43
678.0,100.60
677.0,101.45
676.0,99.92
675.0,100.89
674.0,100.48
673.0,99.58
672.0,100.31
671.0,99.72
670.0,99.71
669.0,99.98
668.0,99.93
667.0,100.33
666.0,101.45
665.0,98.71
664.0,99.03
663.0,98.51
662.0,98.75
661.0,98.54
660.0,99.38
659.0,101.18
658.0,100.31
657.0,99.97
656.0,100.47
655.0,100.63
654.0,99.46
653.0,97.67
652.0,99.00
651.0,100.00
650.0,99.98
649.0,99.65
648.0,101.34
647.0,99.86
646.0,99.64
645.0,100.02
644.0,99.96
643.0,100.14
642.0,100.54
641.0,101.36
640.0,99.91
639.0,98.52
638.0,99.65
637.0,100.03
636.0,99.34
635.0,99.08
634.0,99.12
633.0,100.09
632.0,99.80
631.0,100.47
630.0,100.76
629.0,100.29
628.0,99.71
627.0,98.92
626.0,100.88
625.0,99.43
624.0,100.03
623.0,98.82
622.0,99.72
621.0,99.65
620.0,100.30
619.0,99.76
618.0,99.98
617.0,99.19
616.0,100.42
615.0,100.54
614.0,100.47
613.0,101.03
612.0,100.68
611.0,98.95
610.0,101.21
609.0,100.33
608.0,100.21
607.0,100.21
606.0,98.72
605.0,101.16
604.0,99.81
