Created as New Dataset,blank 100 %
nm,%T
900.0,100.00
899.0,100.00
898.0,100.00
897.0,100.00
896.0,100.00
895.0,100.01
894.0,100.00
893.0,100.01
892.0,100.00
891.0,100.00
890.0,100.00
889.0,100.00
888.0,100.00
887.0,100.00
886.0,100.00
885.0,99.99
884.0,100.00
883.0,100.00
882.0,100.00
881.0,100.00
880.0,100.00
879.0,100.01
878.0,100.01
877.0,100.01
876.0,100.01
875.0,100.00
874.0,100.00
873.0,99.99
872.0,100.00
871.0,100.00
870.0,100.00
869.0,100.00
868.0,100.00
867.0,100.00
866.0,100.00
865.0,100.00
864.0,100.00
863.0,100.00
862.0,100.00
861.0,100.00
860.0,100.05
859.0,100.08
858.0,100.08
857.0,100.06
856.0,100.01
855.0,100.03
854.0,100.02
853.0,100.06
852.0,100.06
851.0,99.98
850.0,100.05
849.0,100.07
848.0,100.00
847.0,100.07
846.0,100.04
845.0,100.00
844.0,100.02
843.0,100.01
842.0,100.08
841.0,100.02
840.0,100.00
839.0,100.03
838.0,100.04
837.0,100.03
836.0,100.01
835.0,100.04
834.0,100.04
833.0,100.01
832.0,100.04
831.0,100.01
830.0,100.03
829.0,100.02
828.0,100.03
827.0,100.04
826.0,100.03
825.0,100.02
824.0,100.01
823.0,99.99
822.0,100.00
821.0,100.02
820.0,99.97
819.0,100.02
818.0,100.03
817.0,100.02
816.0,100.01
815.0,99.98
814.0,100.02
813.0,100.03
812.0,100.03
811.0,100.03
810.0,100.05
809.0,100.05
808.0,100.00
807.0,100.00
806.0,100.00
805.0,100.02
804.0,99.99
803.0,100.01
802.0,100.01
801.0,100.00
800.0,100.02
799.0,100.03
798.0,100.02
797.0,100.03
796.0,100.02
795.0,100.03
794.0,100.04
793.0,100.02
792.0,100.04
791.0,100.03
790.0,100.02
789.0,100.00
788.0,100.00
787.0,99.98
786.0,99.98
785.0,100.00
784.0,100.01
783.0,100.00
782.0,99.99
781.0,100.01
780.0,100.01
779.0,100.01
778.0,100.01
777.0,100.01
776.0,100.00
775.0,100.02
774.0,100.02
773.0,100.01
772.0,100.02
771.0,100.02
770.0,100.04
769.0,100.04
768.0,100.02
767.0,100.02
766.0,100.02
765.0,100.01
764.0,99.99
763.0,99.99
762.0,100.01
761.0,100.02
760.0,100.02
759.0,100.01
758.0,100.00
757.0,100.00
756.0,100.00
755.0,100.00
754.0,100.02
753.0,100.03
752.0,100.02
751.0,100.02
750.0,100.01
749.0,100.01
748.0,100.03
747.0,100.04
746.0,100.04
745.0,100.02
744.0,100.03
743.0,100.02
742.0,100.01
741.0,100.01
740.0,100.00
739.0,100.00
738.0,99.99
737.0,100.00
736.0,100.02
735.0,100.00
734.0,99.99
733.0,100.01
732.0,100.02
731.0,100.01
730.0,100.01
729.0,100.01
728.0,100.01
727.0,100.01
726.0,100.00
725.0,100.02
724.0,100.03
723.0,100.02
722.0,100.01
721.0,100.01
720.0,100.01
719.0,99.99
718.0,100.00
717.0,100.01
716.0,100.00
715.0,100.00
714.0,100.01
713.0,100.02
712.0,100.02
711.0,100.00
710.0,100.01
709.0,100.01
708.0,100.00
707.0,100.01
