Created as New Dataset,
nm,%T
900.0,99.97
898.0,100.01
896.0,100.02
894.0,100.05
892.0,100.08
890.0,100.04
888.0,99.93
886.0,100.23
884.0,100.05
882.0,100.00
880.0,99.97
878.0,99.89
876.0,100.02
874.0,100.00
872.0,99.94
870.0,99.92
868.0,100.05
866.0,99.97
864.0,99.85
862.0,99.98
860.0,100.00
858.0,99.95
856.0,100.00
854.0,100.04
852.0,99.78
850.0,99.72
848.0,99.99
846.0,100.23
844.0,100.08
842.0,100.19
840.0,100.00
838.0,100.03
836.0,100.09
834.0,99.94
832.0,99.91
830.0,100.03
828.0,100.00
826.0,99.97
824.0,99.89
822.0,99.89
820.0,99.99
818.0,99.97
816.0,99.95
814.0,100.10
812.0,100.07
810.0,100.03
808.0,99.98
806.0,99.98
804.0,100.01
802.0,99.94
800.0,100.00
798.0,99.98
796.0,99.94
794.0,100.01
792.0,100.00
790.0,99.97
788.0,100.03
786.0,100.07
784.0,100.08
782.0,99.96
780.0,99.93
778.0,99.88
776.0,99.91
774.0,99.90
772.0,99.97
770.0,100.01
768.0,100.01
766.0,99.94
764.0,99.95
762.0,99.94
760.0,99.99
758.0,100.06
756.0,100.04
754.0,100.01
752.0,100.02
750.0,100.04
748.0,99.99
746.0,100.00
744.0,100.01
742.0,100.03
740.0,99.98
738.0,100.00
736.0,99.97
734.0,100.02
732.0,100.04
730.0,100.02
728.0,99.94
726.0,99.96
724.0,99.99
722.0,100.03
720.0,100.04
718.0,100.03
716.0,100.00
714.0,99.98
712.0,100.02
710.0,100.06
708.0,100.04
706.0,100.00
704.0,99.97
702.0,99.99
700.0,100.00
